Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3,Cat_4
Hexadecane,544-76-3,Rxi5ms,223.35,37.195,88.101,0.002,Brehmer2022,alkane,alkanes,,
Heptadecane,629-78-7,Rxi5ms,235.82,37.591,89.85,0.002,Brehmer2022,alkane,alkanes,,
Octadecane,593-45-3,Rxi5ms,247.63,38.356,108.38,0.002,Brehmer2022,alkane,alkanes,,
Nonadecane,629-92-5,Rxi5ms,258.79,38.449,102.91,0.002,Brehmer2022,alkane,alkanes,,
Eicosane,112-95-8,Rxi5ms,269.42,38.794,108.9,0.002,Brehmer2022,alkane,alkanes,,
Ethylbenzene,100-41-4,Rxi17SilMS,81.076,29.203,92.253,0.001,Brehmer2022,BTEX,aromatic,,
Toluene,108-88-3,Rxi17SilMS,60.799,28.234,70.101,0.001,Brehmer2022,BTEX,,,
o-Xylene,95-47-6,Rxi17SilMS,89.046,29.889,70.688,0.001,Brehmer2022,BTEX,aromatic,,
m-Xylene,108-38-3,Rxi17SilMS,82.057,29.116,76.562,0.001,Brehmer2022,BTEX,,,
p-Xylene,106-42-3,Rxi17SilMS,82.057,29.116,76.562,0.001,Brehmer2022,BTEX,,,
Ethylbenzene,100-41-4,Rxi5ms,104.16,33.701,11.786,0.002,Brehmer2022,BTEX,aromatic,,
o-Xylene,95-47-6,Rxi5ms,111.07,33.836,9.8542,0.002,Brehmer2022,BTEX,aromatic,,
m-Xylene,108-38-3,Rxi5ms,105.74,33.229,9.6444,0.002,Brehmer2022,BTEX,,,
p-Xylene,106-42-3,Rxi5ms,105.81,33.281,7.0462,0.002,Brehmer2022,BTEX,,,
Benzene,71-43-2,Rxi5ms,40.227,35.178,105.97,0.001,Brehmer2022,BTEX,,,
Ethylbenzene,100-41-4,Rxi5ms,89.926,36.18,143.21,0.001,Brehmer2022,BTEX,aromatic,,
Toluene,108-88-3,Rxi5ms,68.487,34.066,154.14,0.001,Brehmer2022,BTEX,,,
o-Xylene,95-47-6,Rxi5ms,96.132,35.806,159.22,0.001,Brehmer2022,BTEX,aromatic,,
m-Xylene,108-38-3,Rxi5ms,92.231,36.504,132.63,0.001,Brehmer2022,BTEX,,,
p-Xylene,106-42-3,Rxi5ms,92.27,36.398,134.67,0.001,Brehmer2022,BTEX,,,
Methyl butyrate,623-42-7,Rxi17SilMS,49.699,25.139,82.71,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl hexanoate,106-70-7,Rxi17SilMS,89.321,27.033,96.702,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl octanoate,111-11-5,Rxi17SilMS,122.96,28.639,107.6,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl decanoate,110-42-9,Rxi17SilMS,152.75,29.945,116.14,0.001,Brehmer2022,FAME,Grob,FAMEs,saturated FAME
Methyl undecanoate,1731-86-8,Rxi17SilMS,166.41,30.466,120.23,0.001,Brehmer2022,FAME,Grob,FAMEs,saturated FAME
Methyl laurate,111-82-0,Rxi17SilMS,179.4,30.899,118.02,0.001,Brehmer2022,FAME,Grob,FAMEs,saturated FAME
Methyl tridecanoate,1731-88-0,Rxi17SilMS,191.67,31.201,116.79,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl myristate,124-10-7,Rxi17SilMS,203.33,31.477,116.26,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl myristoleate,92857-33-5,Rxi17SilMS,205.38,31.75,104.8,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl pentadecanoate,7132-64-1,Rxi17SilMS,214.28,31.498,109.4,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl cis-10-pentadecenoate,90176-52-6,Rxi17SilMS,216.4,31.955,105.78,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl palmitate,112-39-0,Rxi17SilMS,224.78,31.705,111.82,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl palmitoleate,10030-74-7,Rxi17SilMS,225.98,32.136,106.3,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl heptadecanoate,1731-92-6,Rxi17SilMS,234.82,31.932,116.42,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
cis-10-Heptadecenoic acid methyl ester,75190-82-8,Rxi17SilMS,236.03,32.316,107.78,0.001,Brehmer2022,FAME,,,
Methyl stearate,112-61-8,Rxi17SilMS,244.82,32.384,119.61,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
trans-9-Elaidic acid methyl ester,1937-62-8,Rxi17SilMS,245.35,32.806,121.27,0.001,Brehmer2022,FAME,unsaturated FAME,,
cis-9-Oleic acid methyl ester,112-62-9,Rxi17SilMS,245.31,32.324,115.33,0.001,Brehmer2022,FAME,saturated FAME,,
