Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3
Octan-2-ol,123-96-6,Rxi17SilMS,99.505,27.994,108.59,0.001,Brehmer2022,alcohol,,
Cyclohexanone,108-94-1,Rxi17SilMS,101.2,30.848,84.809,0.001,Brehmer2022,ketone,,
2-Octanone,111-13-7,Rxi17SilMS,103.35,28.229,110.03,0.001,Brehmer2022,ketone,alkanones,
Bromobenzene,108-86-1,Rxi17SilMS,104.09,31.987,80.197,0.001,Brehmer2022,aromatic,,
n-Octanal,124-13-0,Rxi17SilMS,105.34,28.314,115.11,0.001,Brehmer2022,aldehyde,,
Phenol,108-95-2,Rxi17SilMS,113.06,30.654,93.668,0.001,Brehmer2022,aromatic,,
Octan-1-ol,111-87-5,Rxi17SilMS,114.37,28.935,108.34,0.001,Brehmer2022,alcohol,Grob,alcohols
"1,3-Dichlorobenzene",541-73-1,Rxi17SilMS,115.8,32.562,78.486,0.001,Brehmer2022,aromatic,,
2-Chlorophenol,95-57-8,Rxi17SilMS,115.88,32.649,84.209,0.001,Brehmer2022,aromatic,,
Benzaldehyde,100-52-7,Rxi17SilMS,116.25,31.746,86.447,0.001,Brehmer2022,allergenic fragrances,aldehyde,aromatic
n-Butylbenzene,104-51-8,Rxi17SilMS,116.35,30.927,91.572,0.001,Brehmer2022,aromatic,,
Linalool,78-70-6,Rxi17SilMS,120.04,29.354,103.32,0.001,Brehmer2022,allergenic fragrances,terpene,alcohol
2-Nonanone,821-55-6,Rxi17SilMS,120.2,29.002,105.6,0.001,Brehmer2022,ketone,alkanones,
Aniline,62-53-3,Rxi17SilMS,121.66,32.029,89.058,0.001,Brehmer2022,aromatic,amine,anilines
n-Nonanal,124-19-6,Rxi17SilMS,122.12,29.187,103.98,0.001,Brehmer2022,aldehyde,Grob,
Methyl octanoate,111-11-5,Rxi17SilMS,122.96,28.639,107.6,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
"1,2-Dichlorobenzene",95-50-1,Rxi17SilMS,124.28,33.276,73.739,0.001,Brehmer2022,aromatic,,
4-Fluoroaniline,371-40-4,Rxi17SilMS,124.39,31.726,99.509,0.001,Brehmer2022,aromatic,amine,
2-Methylphenol,95-48-7,Rxi17SilMS,126.96,31.703,99.547,0.001,Brehmer2022,aromatic,,
